run,n0,ring_size,ring_width,pa
44,300,19.65967,11.37122,148.43865
45,300,19.63293,11.3655,148.26916
46,300,19.60672,11.27708,150.45278
47,300,19.62281,11.3989,148.56452
48,300,19.74671,11.36398,148.55243
49,300,19.61452,11.36702,148.44272
50,300,19.64325,11.35935,148.34157
1,350,19.66264,11.32038,148.05318
2,350,19.62374,11.29962,148.14452
3,350,19.63609,11.32446,148.20571
4,350,19.67991,11.32226,148.13178
5,350,19.66092,11.31692,147.70289
6,350,19.64082,11.29605,148.28068
7,350,19.68358,11.3064,148.09467
8,350,19.64638,11.30235,148.1912
9,350,19.68602,11.32048,148.31061
10,350,19.65879,11.3261,148.13508
11,350,20.03411,11.48216,148.63434
12,350,19.64861,11.27574,148.45693
13,350,19.61103,11.29423,147.9285
14,350,21.19406,11.89169,147.9845
15,350,19.6496,11.3404,148.04634
16,350,19.60549,11.32746,147.84782
17,350,19.68242,11.26635,149.49608
18,350,19.64379,11.31556,148.03445
19,350,19.69967,11.29439,149.71621
20,350,19.63984,11.33221,148.61148
21,350,19.68337,11.31521,148.06088
22,350,19.62035,11.30535,148.00468
23,350,19.68521,11.25384,149.45784
24,350,19.98639,11.47744,147.96298
25,350,19.61352,11.30144,148.06179
26,350,19.63458,11.30649,148.22341
27,350,19.72859,11.33328,147.35688
28,350,19.65159,11.31026,147.89996
29,350,19.65777,11.3377,148.3049
30,350,19.77606,11.34254,147.75641
31,350,19.75386,11.29367,149.92969
32,350,19.66745,11.31801,148.02762
33,350,19.61059,11.32295,148.06823
34,350,19.64522,11.29483,148.07443
35,350,19.67014,11.30878,148.27407
36,350,19.59007,11.33464,147.8585
37,350,19.66015,11.31518,147.93973
38,350,19.58694,11.31856,147.63203
39,350,19.88583,11.22112,146.82288
40,350,19.65889,11.31461,148.18196
41,350,19.59893,11.31582,147.84532
42,350,19.61212,11.31251,147.76501
43,350,19.73821,11.28611,147.98045
44,350,19.63604,11.35736,148.38992
45,350,19.68074,11.3101,147.70174
46,350,19.65919,11.34035,147.86259
47,350,19.61008,11.31603,148.16895
48,350,21.21359,11.91636,147.93978
49,350,19.66302,11.3268,148.04204
50,350,19.67336,11.32836,148.08031
1,400,19.67701,11.20939,147.88921
2,400,20.25183,11.15768,147.41869
3,400,19.74135,11.24952,147.93748
4,400,19.71807,11.26903,147.79623
5,400,19.72004,11.26712,147.82635
6,400,19.69265,11.22914,148.02051
7,400,19.66725,11.27407,147.99912
8,400,19.72913,11.26043,148.48903
9,400,19.69766,11.24921,147.9717
10,400,19.72973,11.25765,147.93742
11,400,19.70794,11.25491,148.01391
12,400,19.70729,11.24818,148.17673
13,400,19.72959,11.40314,147.17245
14,400,19.69969,11.25493,147.84695
15,400,19.75465,11.22268,148.16486
16,400,19.73945,11.22174,147.79405
17,400,19.73824,11.25418,147.26751
18,400,19.71933,11.26023,148.04573
19,400,19.72774,11.27525,148.2098
20,400,19.7233,11.27495,147.82873
21,400,19.72703,11.24924,147.80981
22,400,19.68404,11.27713,147.52482
23,400,19.74765,11.22188,147.78335
24,400,19.74218,11.29051,147.89047
25,400,19.73473,11.18724,149.37258
26,400,19.69675,11.30542,147.40507
27,400,19.68349,11.24797,147.78659
28,400,19.66201,11.25086,147.90883
29,400,19.72668,11.23931,147.97276
30,400,19.6669,11.27896,147.90704
31,400,19.70873,11.2574,147.94495
32,400,19.69809,11.26276,148.07387
33,400,19.79157,11.22355,148.03814
34,400,19.71403,11.25209,148.00782
35,400,19.70596,11.24991,147.98598
36,400,19.66558,11.22742,148.04694
37,400,21.29656,11.80141,147.48558
38,400,19.71421,11.24884,147.94043
39,400,19.73324,11.23431,149.20859
40,400,19.69311,11.27645,147.79383
41,400,19.70306,11.281,148.25775
42,400,19.73882,11.25748,148.12766
43,400,19.72533,11.27044,148.0526
44,400,19.69037,11.22706,147.75574
45,400,19.63605,11.23064,147.45628
46,400,19.65905,11.28156,147.64092
47,400,19.6936,11.26551,147.91534
48,400,19.69044,11.22548,147.68848
49,400,19.69746,11.25665,147.93189
50,400,19.75414,11.28871,147.80291
